city,categories,count
NORWOOD,Coffee & Tea,13
CANTON,Fast Food,13
BELMONT,Others,13
WILMINGTON,Fast Food,13
REVERE,Fast Food,13
LYNNFIELD,American,12
BRAINTREE,Italian,12
NORWOOD,Asian Fusion,12
WELLESLEY,Fast Food,12
CHELSEA,Italian,12
PEABODY,Chinese,12
ROSLINDALE,Italian,12
SAUGUS,Others,12
HYDE PARK,American,12
ROXBURY,Asian Fusion,11
MELROSE,Italian,11
BELMONT,Italian,11
RANDOLPH,Others,11
MARBLEHEAD,Coffee & Tea,11
SALEM,Asian Fusion,11
WINTHROP,Italian,11
MEDFORD,Asian Fusion,11
WILMINGTON,Italian,11
MELROSE,American,11
BURLINGTON,Fast Food,11
JAMAICA PLAIN,Asian Fusion,11
DEDHAM,Italian,11
WELLESLEY,Coffee & Tea,11
DEDHAM,Fast Food,11
HOLBROOK,Others,11
CONCORD,Italian,11
WAKEFIELD,Asian Fusion,11
HINGHAM,Coffee & Tea,11
WELLESLEY,Italian,11
ARLINGTON,Chinese,10
ARLINGTON,Coffee & Tea,10
LEXINGTON,Italian,10
TEWKSBURY,American,10
NORWELL,American,10
NORWOOD,Fast Food,10
MATTAPAN,Others,10
COHASSET,American,10
BELMONT,Asian Fusion,10
TEWKSBURY,Italian,10
WELLESLEY,Others,10
BRIGHTON,Chinese,10
BRIGHTON,Others,10
BILLERICA,Italian,10
PEABODY,Asian Fusion,10
WEYMOUTH,Chinese,10
DANVERS,Coffee & Tea,9
WINTHROP,American,9
WAYLAND,American,9
CHESTNUT HILL,Italian,9
SAUGUS,Coffee & Tea,9
WINCHESTER,Coffee & Tea,9
READING,Italian,9
BRAINTREE,Chinese,9
HOLBROOK,Fast Food,9
WAKEFIELD,Coffee & Tea,9
WEYMOUTH,Asian Fusion,9
NEEDHAM,Italian,9
MARBLEHEAD,Italian,9
ROSLINDALE,Fast Food,9
STONEHAM,Asian Fusion,9
STONEHAM,Fast Food,9
STONEHAM,Italian,9
ROXBURY,Chinese,9
BEDFORD,Fast Food,9
EVERETT,Chinese,9
DORCHESTER,Coffee & Tea,9
WOBURN,Chinese,8
READING,Coffee & Tea,8
NATICK,Chinese,8
NORWOOD,Chinese,8
NEEDHAM,Coffee & Tea,8
WATERTOWN,Coffee & Tea,8
HINGHAM,Fast Food,8
BEVERLY,Chinese,8
WINCHESTER,American,8
WESTWOOD,Coffee & Tea,8
STOUGHTON,Others,8
LYNN,Chinese,8
BILLERICA,Chinese,8
DEDHAM,Coffee & Tea,8
DANVERS,Others,8
HINGHAM,Others,8
CANTON,Italian,8
CONCORD,Coffee & Tea,8
WAKEFIELD,Fast Food,8
COHASSET,Italian,8
CHELSEA,Fast Food,8
WATERTOWN,Chinese,8
HINGHAM,Italian,8
CONCORD,Fast Food,7
CANTON,Others,7
CAMBRIDGE,Pubs & Bars,7
WAKEFIELD,Others,7
EVERETT,Asian Fusion,7
WELLESLEY,Asian Fusion,7
STOUGHTON,Fast Food,7
BELMONT,American,7
BROCKTON,Italian,7
BEDFORD,Asian Fusion,7
REVERE,Chinese,7
REVERE,Coffee & Tea,7
MELROSE,Fast Food,7
BELMONT,Fast Food,7
MARBLEHEAD,Others,7
ROSLINDALE,Chinese,7
BEVERLY,Asian Fusion,7
RANDOLPH,Fast Food,7
MALDEN,Coffee & Tea,7
WINCHESTER,Italian,7
